strain_name,biotic_relationship,specific_host,project_name,Isolate,env_material,IsolateNum,SampleState,SamplePlot,SampleRep,SampleID,Media,Reps.denominator,Morpho2
Root_373,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_373,Root,373,WA,SE,11,WA-SE-11,GYRBA,10,WA-4-2
Root_377,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_377,Root,377,WA,N,7,WA-N-7,Armillaria,10,WA-5-1
Root_378,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_378,Root,378,WA,SW,9,WA-SW-9,GYRBA,10,WA-5-2
Root_379,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_379,Root,379,WA,SW,9,WA-SW-9,GYRBA,10,WA-5-2
Root_380,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_380,Root,380,WA,SE,7,WA-SE-7,GYRBA,10,WA-5-3
Root_382,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_382,Root,382,WA,SE,8,WA-SE-8,GYRBA,10,WA-5-4
Root_383,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_383,Root,383,WA,SE,8,WA-SE-8,Armillaria,10,WA-5-5
Root_384,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_384,Root,384,WA,N,1,WA-N-1,GYRBA,10,WA-5-6
Root_387,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_387,Root,387,IN,NE,12,IN-NE-12,MSJ,10,IN-5-1
Root_389,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_389,Root,389,WA,SE,15,WA-SE-15,MSJ,10,WA-5-8
Root_39,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_39,Root,39,IN,NE,8,IN-NE-8,GYRBA,10,IN-1-7
Root_390,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_390,Root,390,WA,SW,9,WA-SW-9,MSJ,10,WA-5-9
Root_391,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_391,Root,391,WA,SE,15,WA-SE-15,MSJ,10,WA-5-10
Root_402,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_402,Root,402,WA,SE,14,WA-SE-14,GYRBA,10,WA-5-12
Root_404,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_404,Root,404,WA,NE,3,WA-NE-3,GYRBA,10,WA-5-13
Root_405,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_405,Root,405,WA,NE,3,WA-NE-3,MSJ,10,WA-5-7
Root_407,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_407,Root,407,WA,NE,3,WA-NE-3,MSJ,10,WA-5-15
Root_413,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_413,Root,413,WA,SW,19,WA-SW-19,GYRBA,10,WA-5-17
Root_416,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_416,Root,416,WA,SW,19,WA-SW-19,GYRBA,10,WA-5-19
Root_417,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_417,Root,417,WA,SW,19,WA-SW-19,GYRBA,10,WA-5-3
Root_42,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_42,Root,42,IN,NE,13,IN-NE-13,Armillaria,10,IN-1-9
Root_422,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_422,Root,422,WA,N,6,WA-N-6,MSJ,10,WA-5-23
Root_424,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_424,Root,424,WA,N,6,WA-N-6,GYRBA,10,WA-5-25
Root_426,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_426,Root,426,WA,N,6,WA-N-6,GYRBA,10,WA-5-14-2
Root_430,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_430,Root,430,WA,SE,13,WA-SE-13,GYRBA,10,WA-5-28
Root_432,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_432,Root,432,WA,SW,3,WA-SW-3,GYRBA,10,WA-5-30
Root_434,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_434,Root,434,WA,SW,7,WA-SW-7,GYRBA,10,WA-5-31
Root_437,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_437,Root,437,WA,SE,6,WA-SE-6,GYRBA,10,WA-5-32
Root_439,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_439,Root,439,WA,SW,12,WA-SW-12,1/2PDA++,10,WA-5-43
Root_44,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_44,Root,44,WA,SE,15,WA-SE-15,1/2PDA++,10,WA-1-5
Root_440,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_440,Root,440,WA,SW,12,WA-SW-12,1/2PDA++,10,WA-5-33
Root_447,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_447,Root,447,WA,SE,30-5,WA-SE-30-5,GYRBA,10,WA-5-35
Root_45,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_45,Root,45,WA,SE,15,WA-SE-15,1/2PDA++,10,WA-1-6
Root_452,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_452,Root,452,WA,N,3,WA-N-3,Armillaria,10,WA-5-37
Root_456,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_456,Root,456,WA,N,3,WA-N-3,1/2PDA++,10,WA-5-38
Root_457,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_457,Root,457,WA,N,3,WA-N-3,1/2PDA++,10,WA-5-39
Root_459,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_459,Root,459,WA,N,3,WA-N-3,Armillaria,10,WA-5-37
Root_464,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_464,Root,464,WA,SE,19,WA-SE-19,GYRBA,10,WA-5-41
Root_468,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_468,Root,468,WA,SE,19,WA-SE-19,GYRBA,10,WA-5-44
Root_472,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_472,Root,472,WA,N,3,WA-N-3,GYRBA,10,WA-5-45
Root_474,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_474,Root,474,WA,N,3,WA-N-3,GYRBA,10,WA-5-47
Root_475,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_475,Root,475,WA,N,3,WA-N-3,1/2PDA++,10,WA-5-15
Root_482,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_482,Root,482,IN,SW,5,IN-SW-5,GYRBA,10,IN-5-9
Root_485,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_485,Root,485,IN,SW,5,IN-SW-5,1/2PDA++,10,IN-5-10
Root_507,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_507,Root,507,WA,N,18,WA-N-18,GYRBA,10,WA-5-39
Root_509,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_509,Root,509,IN,SW,6,IN-SW-6,Armillaria,10,IN-5-6
Root_512,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_512,Root,512,IN,SW,15,IN-SW-15,MSJ,10,IN-6-1
Root_519,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_519,Root,519,WA,SW,6,WA-SW-6,MSJ,10,WA-6-4
Root_525,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_525,Root,525,IN,NE,6,IN-NE-6,SFA,10,IN-6-4
Root_535,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_535,Root,535,WA,N,16,WA-N-16,GYRBA,10,WA-6-10
Root_536,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_536,Root,536,WA,N,16,WA-N-16,GYRBA,10,WA-6-11
Root_537,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_537,Root,537,WA,SW,10,WA-SW-10,MSJ,10,WA-6-12
Root_542,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_542,Root,542,IN,SW,12,IN-SW-12,GYRBA,10,IN-6-8
Root_551,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_551,Root,551,WA,SE,19,WA-SE-19,GYRBA,10,WA-6-3
Root_554,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_554,Root,554,IN,SW,1,IN-SW-1,SFA,10,IN-6-11
Root_567,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_567,Root,567,WA,N,18,WA-N-18,MSJ,10,WA-7-4
Root_568,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_568,Root,568,WA,N,18,WA-N-18,MSJ,10,WA-7-5
Root_570,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_570,Root,570,WA,N,18,WA-N-18,MSJ,10,WA-7-7
Root_573,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_573,Root,573,IN,SW,9,IN-SW-9,GYRBA,10,IN-7-3
Root_575,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_575,Root,575,IN,SW,9,IN-SW-9,GYRBA,10,IN-7-18
Root_579,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_579,Root,579,IN,SW,12,IN-SW-12,1/2PDA++,10,IN-7-6
Root_581,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_581,Root,581,IN,NE,17,IN-NE-17,SFA,10,Single
Root_583,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_583,Root,583,WA,SW,6,WA-SW-6,GYRBA,10,WA-7-9
Root_584,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_584,Root,584,WA,N,2,WA-N-2,SFA,10,WA-7-10
Root_585,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_585,Root,585,IN,NE,8,IN-NE-8,1/2PDA++,10,WA-7-13-1
Root_586,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_586,Root,586,WA,SE,16,WA-SE-16,MSJ,10,WA-7-11
Root_59,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_59,Root,59,WA,SE,15,WA-SE-15,GYRBA,10,WA-1-7
Root_591,endophyte,Juglans_nigra,Jn_endosphere_2020,GW20_591,Root,591,WA,N,12,WA-N-12,SFA,10,WA-7-14
